LakeID,Sand,LOI550
SGL24,0,42.21038615,
TL09,3,45.79678363,
TL08,44,57.43645214,
SGL23,2,54.22492401,
SGL13,0,68.06919121,
SGL14,0,13.55695318,
SGL15,0,68.26734063,
SGL16,4,58.68940016,
SGL17,1,62.5027784,
TL18,0,36.87374749,
TL101,7,25.19774011,
SGL21,0,71.94674013,
TAILORSPOND,81,49.98119594,
SGL22,3,57.84671533,
SGL102,4,73.07129799,
SGL103,2,61.98137172,
SGL104,12049,97.14826021,
SGL105,41080,97.05988979,
SGL08,27,59.3804453,
SGL106,1241,69.88764045,
SGL107,0,32.26057617,
SGL108,123,86.98370907,
SGL07,0,21.30701157,
SGL06,5,68.62320268,
SGL05,1,68.49354792,
SGL109,1,90.61406518,
SGL02,4,41.30205031,
SGL110,4,73.67450438,
SGL111,22,62.42430681,
SGL112,5,73.26014913,
SGL113,26465,93.29340091,
SGL114,4,33.28030544,
SGL115,9,62.91666667,
TL27,0,30.84632517,
SGL116,2,50.35587189,
SGL118,0,66.85179772,
SGL119,3,96.35354142,
SGL120,0,65.92156863,
SGL121,1,62.78643446,
SGL122,0,52.65544041,
SGL123,2,55.76490439,
SGL124,81,74.04718693,
SGL125,7,69.88854727,
SGL126,14,72.27655987,
SGL127,9,49.67866324,
SGL128,0,22.07446809,
SGL129,2,64.01021711,
SGL25,0,13.4305449,
SGL100,0,21.30701157,
SGL26,15912,96.53565325
